organisasjonsnummer,navn,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,antallAnsatte,overordnetEnhet,oppstartsdato,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,naeringskode1_beskrivelse,naeringskode1_kode,beliggenhetsadresse_land,beliggenhetsadresse_landkode,beliggenhetsadresse_postnummer,beliggenhetsadresse_poststed,beliggenhetsadresse_adresse,beliggenhetsadresse_kommune,beliggenhetsadresse_kommunenummer,links_self_href,links_overordnetEnhet_href,hjemmeside,datoEierskifte
991181423,ÅPENT BAKERI DRIFT AS AVD KARL JOHANS GATE,2007-04-25,False,22.0,998316588,2006-10-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0162,OSLO,['Karl Johans gate 39'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/991181423,https://data.brreg.no/enhetsregisteret/api/enheter/998316588,,2014-02-07
871790272,VOKSENÅSEN HOTELL,1995-02-22,False,75.0,934792785,1965-12-31,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,"Drift av hoteller, pensjonater og moteller med restaurant",55.101,Norge,NO,0791,OSLO,['Ullveien 4'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/871790272,https://data.brreg.no/enhetsregisteret/api/enheter/934792785,www.voksenaasen.no,1999-07-01
918845097,OM MAT AS,2017-04-08,False,17.0,918751718,2017-05-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0277,OSLO,['Drammensveien 160'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/918845097,https://data.brreg.no/enhetsregisteret/api/enheter/918751718,ommatrestaurant.no,
826051892,HAPAGSUSHI AS,2020-11-27,False,3.0,925918385,2020-11-17,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Cateringvirksomhet,56.210,Norge,NO,1390,VOLLEN,['Arnestadveien 1C'],ASKER,3025,https://data.brreg.no/enhetsregisteret/api/underenheter/826051892,https://data.brreg.no/enhetsregisteret/api/enheter/925918385,,
924846291,TROYS GRUNERLØKKA AS,2020-03-28,False,9.0,924766131,2020-01-15,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0553,OSLO,['Helgesens gate 16A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/924846291,https://data.brreg.no/enhetsregisteret/api/enheter/924766131,,
812869922,LILLE SAIGON 1 AS,2013-12-12,False,14.0,912856526,2013-12-03,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0183,OSLO,['Bernt Ankers gate 27'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/812869922,https://data.brreg.no/enhetsregisteret/api/enheter/912856526,,
985897409,THE COFFEE CLUB AS,2003-07-28,False,8.0,985884366,2003-07-07,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av barer ellers,56.309,Norge,NO,0160,OSLO,['Fridtjof Nansens plass 2'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/985897409,https://data.brreg.no/enhetsregisteret/api/enheter/985884366,,
920879446,ROMA PIZZA GRILL DA,2018-05-23,False,3.0,920871518,2018-06-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av gatekjøkken,56.102,Norge,NO,0374,OSLO,['Holmenveien 11'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/920879446,https://data.brreg.no/enhetsregisteret/api/enheter/920871518,,
999348165,HÅKON LINDBÄCK,2013-01-10,False,0.0,881180472,2011-01-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Annen undervisning ikke nevnt annet sted,85.599,Norge,NO,0650,OSLO,['Sigurds gate 16A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/999348165,https://data.brreg.no/enhetsregisteret/api/enheter/881180472,,
919848928,GIROTONDO AS,2017-11-04,False,24.0,919729945,2017-11-15,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0181,OSLO,['Youngs gate 19'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/919848928,https://data.brreg.no/enhetsregisteret/api/enheter/919729945,,
988194190,BUTLEREN CATERING AS,2005-05-07,False,11.0,988144770,2005-03-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Cateringvirksomhet,56.210,Norge,NO,0375,OSLO,['Skøyenveien 43'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/988194190,https://data.brreg.no/enhetsregisteret/api/enheter/988144770,www.butlerencatering.no,
983872352,LINDERUDKOLLEN SPORTSSTUE DA,2001-11-03,False,0.0,991131795,2001-01-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0496,OSLO,['Solemskogen'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/983872352,https://data.brreg.no/enhetsregisteret/api/enheter/991131795,,2006-01-01
921954271,MERAKI AS,2018-12-18,False,1.0,921861001,2019-02-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av gatekjøkken,56.102,Norge,NO,0181,OSLO,['Torggata 16'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/921954271,https://data.brreg.no/enhetsregisteret/api/enheter/921861001,,
994384031,MATS & MARTIN AS,2009-08-06,False,42.0,994356550,2009-10-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0283,OSLO,['Lilleakerveien 16'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/994384031,https://data.brreg.no/enhetsregisteret/api/enheter/994356550,www.matsogmartin.com,
997640144,MASCHMANNS AS,2011-11-23,False,73.0,997549910,2011-10-26,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.111,Norge,NO,0278,OSLO,['Karenslyst allé 2'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/997640144,https://data.brreg.no/enhetsregisteret/api/enheter/997549910,www.maschmanns.no,
995913283,ST. LARS AS,2010-09-08,False,20.0,995878224,2010-08-11,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0354,OSLO,['Thereses gate 45'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/995913283,https://data.brreg.no/enhetsregisteret/api/enheter/995878224,www.stlars.no,
980261565,ENOTECA BYGDØY ALLE AS,1998-11-03,False,21.0,980245543,1998-11-02,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0265,OSLO,['Bygdøy allé 59'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/980261565,https://data.brreg.no/enhetsregisteret/api/enheter/980245543,,
926005839,LA MAYOR AS,2020-11-21,False,5.0,925171247,2020-05-20,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0177,OSLO,['Fredensborgveien 9C'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/926005839,https://data.brreg.no/enhetsregisteret/api/enheter/925171247,,
984934580,BLISS CONSEPT AS,2002-10-05,False,5.0,991402802,2002-10-15,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Frisering og annen skjønnhetspleie,96.020,Norge,NO,1162,OSLO,['Ekebergveien 228C'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/984934580,https://data.brreg.no/enhetsregisteret/api/enheter/991402802,,2007-06-13
984790023,RAREST AS,2002-08-27,False,0.0,996049248,2001-01-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0161,OSLO,['Stortingsgata 20'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/984790023,https://data.brreg.no/enhetsregisteret/api/enheter/996049248,,2010-11-01
925840246,VELOCHEF CLUB HOUSE,2020-10-26,False,12.0,925747238,2021-01-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0182,OSLO,['Hausmanns gate 8A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/925840246,https://data.brreg.no/enhetsregisteret/api/enheter/925747238,,
994633287,FUNKY FRESH FOODS AS,2009-10-13,False,0.0,813802112,2009-10-06,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Cateringvirksomhet,56.210,Norge,NO,0182,OSLO,"['c/o Doga', 'Hausmanns gate 16']",OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/994633287,https://data.brreg.no/enhetsregisteret/api/enheter/813802112,www.funkyfreshfoods.no,2014-01-01
925023337,ISAN KITCHEN AS,2020-05-04,False,0.0,924869798,2020-04-29,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0552,OSLO,['Thorvald Meyers gate 64'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/925023337,https://data.brreg.no/enhetsregisteret/api/enheter/924869798,,
922830487,BAKER SAMSON AVD HASLE,2019-06-01,False,13.0,915647774,2019-05-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Butikkhandel med bakervarer og konditorvarer,47.241,Norge,NO,0579,OSLO,['Bøkkerveien 4'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/922830487,https://data.brreg.no/enhetsregisteret/api/enheter/915647774,,
827357472,THE GOLDEN CHIMP VIA,2021-06-30,False,2.0,918602364,2021-08-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0251,OSLO,['Ruseløkkveien 26'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/827357472,https://data.brreg.no/enhetsregisteret/api/enheter/918602364,,
928932222,ABELONE KJØKKEN OG BAR,2022-03-15,False,15.0,916322348,2022-04-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0186,OSLO,['Brugata 11'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/928932222,https://data.brreg.no/enhetsregisteret/api/enheter/916322348,,
924356421,TANDOORI KITCHEN AS,2020-01-07,False,24.0,923826238,2020-01-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0190,OSLO,['Norbygata 56'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/924356421,https://data.brreg.no/enhetsregisteret/api/enheter/923826238,,
894174552,SERRANOS BODEGA AS,2009-06-03,False,4.0,994151843,2009-06-16,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted,47.299,Norge,NO,0668,OSLO,"['Alna Senter', 'Strømsveien 245']",OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/894174552,https://data.brreg.no/enhetsregisteret/api/enheter/994151843,,
919966491,LISTEN TO BALJIT,2017-11-25,False,21.0,919843888,2017-12-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0257,OSLO,['Frognerveien 1'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/919966491,https://data.brreg.no/enhetsregisteret/api/enheter/919843888,,
899165322,MAHAYANA RESTAURANTDRIFT AS,2012-11-20,False,19.0,999135889,2012-11-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0159,OSLO,['Arbeidergata 2'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/899165322,https://data.brreg.no/enhetsregisteret/api/enheter/999135889,,
928926087,LOS TACOS SMESTAD AS,2022-03-15,False,33.0,928912833,2022-03-02,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0377,OSLO,['Hoffsveien 92'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/928926087,https://data.brreg.no/enhetsregisteret/api/enheter/928912833,,
997519388,OLIVIA AS AVD HEGDEHAUGSVEIEN,2011-10-27,False,79.0,989728741,2009-01-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0352,OSLO,['Hegdehaugsveien 34'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/997519388,https://data.brreg.no/enhetsregisteret/api/enheter/989728741,,
917858888,FJORD KARL JOHAN AS,2016-10-10,False,26.0,916711700,2016-01-02,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0153,OSLO,['Kirkegata 34'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/917858888,https://data.brreg.no/enhetsregisteret/api/enheter/916711700,,
972220639,SÆBJØRNSENS BAKERI,1995-02-22,False,17.0,979671008,1990-10-02,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Butikkhandel med bakervarer og konditorvarer,47.241,Norge,NO,0485,OSLO,['Vitaminveien 7'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/972220639,https://data.brreg.no/enhetsregisteret/api/enheter/979671008,,2005-01-15
986339558,LANTERNEN RESTAURANT,2003-12-08,False,8.0,914535638,2003-12-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0753,OSLO,"['c/o Skogen', 'Ostadalsveien 6G']",OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/986339558,https://data.brreg.no/enhetsregisteret/api/enheter/914535638,,2014-12-18
996079309,OSTERIA ITALIA AS,2010-10-20,False,18.0,996057410,2010-09-16,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Cateringvirksomhet,56.210,Norge,NO,0277,OSLO,['Karenslyst allé 55'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/996079309,https://data.brreg.no/enhetsregisteret/api/enheter/996057410,,
922356408,EL CAMINO AS AVD BOGSTADVEIEN,2019-03-09,False,46.0,925882143,2019-03-05,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0355,OSLO,['Bogstadveien 20'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/922356408,https://data.brreg.no/enhetsregisteret/api/enheter/925882143,,2020-10-01
911890844,BAKER SAMSON AVD UTSALG GRÜNERLØKKA,2013-05-02,False,13.0,915647774,2013-05-13,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Butikkhandel med bakervarer og konditorvarer,47.241,Norge,NO,0555,OSLO,['Thorvald Meyers gate 27A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/911890844,https://data.brreg.no/enhetsregisteret/api/enheter/915647774,,
918111409,MIRABEL SØRENGA,2016-11-30,False,69.0,918001921,2016-10-13,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0194,OSLO,['Sørengkaia 163'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/918111409,https://data.brreg.no/enhetsregisteret/api/enheter/918001921,,
927348608,PASCAL GRILL AS,2021-06-28,False,6.0,827324442,2021-05-03,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0488,OSLO,['Kjelsåsveien 18'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/927348608,https://data.brreg.no/enhetsregisteret/api/enheter/827324442,,
919032359,MESOB RESTAURANT AS,2017-05-22,False,5.0,918939393,2017-05-08,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0187,OSLO,['Motzfeldts gate 5'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/919032359,https://data.brreg.no/enhetsregisteret/api/enheter/918939393,,
989515179,AE RESTAURANTDRIFT AS,2006-02-22,False,33.0,989502581,2006-02-10,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0787,OSLO,['Holmenkollveien 119'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/989515179,https://data.brreg.no/enhetsregisteret/api/enheter/989502581,,
999664113,LETT OG METT DUNIYA GRILL AS,2013-02-07,False,6.0,999640516,2013-02-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av gatekjøkken,56.102,Norge,NO,0186,OSLO,['Brugata 8'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/999664113,https://data.brreg.no/enhetsregisteret/api/enheter/999640516,,
923845224,TIJUANA TAQUERIA AS,2019-11-19,False,0.0,923181873,2019-06-11,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0552,OSLO,['Thorvald Meyers gate 61'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/923845224,https://data.brreg.no/enhetsregisteret/api/enheter/923181873,,
972384364,HUNGER AS,1995-02-22,False,6.0,983534996,1994-03-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0550,OSLO,['Thorvald Meyers gate 78C'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/972384364,https://data.brreg.no/enhetsregisteret/api/enheter/983534996,,2001-08-01
912082512,DIAMOND INDIAN CUISINE AS,2013-06-17,False,8.0,917131775,2013-05-07,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0369,OSLO,['Sørkedalsveien 5A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/912082512,https://data.brreg.no/enhetsregisteret/api/enheter/917131775,,2016-04-15
912745090,SUSHI DEPOT IMPORT AS,2013-11-13,False,11.0,913484770,2013-11-05,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0181,OSLO,['Hammersborggata 9'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/912745090,https://data.brreg.no/enhetsregisteret/api/enheter/913484770,,2017-04-01
822275532,AFTEN 1 PIZZA AS,2019-03-05,False,8.0,922114838,2019-01-15,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0182,OSLO,['Storgata 39'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/822275532,https://data.brreg.no/enhetsregisteret/api/enheter/922114838,,
922572984,MATOPPLEVELSER AS,2019-04-02,False,10.0,924926600,2019-04-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0154,OSLO,['Jernbanetorget 6'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/922572984,https://data.brreg.no/enhetsregisteret/api/enheter/924926600,,2020-03-10
